freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.141e+02,2.669e+01,1.912e+01,9.599e+02
1.6,5.251e+02,6.640e+01,6.353e+01,6.550e+02
3.2,5.913e+01,6.093e+01,7.512e+01,1.952e+02
4.8,4.673e+02,8.071e+01,7.335e+01,6.214e+02
6.4,1.420e+03,8.282e+01,6.880e+01,1.572e+03
8.0,2.309e+03,9.300e+01,6.896e+01,2.471e+03
9.6,3.068e+03,1.254e+02,7.546e+01,3.269e+03
11.2,3.981e+03,1.089e+02,7.211e+01,4.162e+03
12.9,5.180e+03,9.778e+01,7.117e+01,5.349e+03
14.5,6.856e+03,1.018e+02,7.117e+01,7.029e+03
16.1,8.913e+03,9.227e+01,6.937e+01,9.075e+03
17.7,1.116e+04,1.004e+02,7.286e+01,1.133e+04
19.3,1.351e+04,8.807e+01,7.731e+01,1.367e+04
20.9,1.483e+04,8.033e+01,7.862e+01,1.499e+04
22.5,1.716e+04,8.477e+01,8.594e+01,1.733e+04
24.1,2.065e+04,8.793e+01,8.891e+01,2.083e+04
25.7,2.415e+04,8.938e+01,8.635e+01,2.433e+04
27.3,2.861e+04,9.956e+01,8.668e+01,2.880e+04
28.9,3.250e+04,1.104e+02,9.673e+01,3.271e+04
30.5,3.845e+04,9.735e+01,1.114e+02,3.866e+04
32.1,4.507e+04,9.239e+01,1.088e+02,4.527e+04
33.7,5.041e+04,7.604e+01,9.290e+01,5.058e+04
35.3,6.005e+04,7.762e+01,9.263e+01,6.022e+04
37.0,7.505e+04,8.861e+01,8.708e+01,7.522e+04
38.6,9.436e+04,9.296e+01,8.329e+01,9.454e+04
40.2,1.215e+05,1.104e+02,1.095e+02,1.217e+05
41.8,1.310e+05,1.300e+02,1.643e+02,1.313e+05
43.4,1.009e+05,1.335e+02,1.769e+02,1.012e+05
45.0,1.199e+05,1.639e+02,2.265e+02,1.203e+05
46.6,1.747e+05,1.861e+02,4.008e+02,1.753e+05
48.2,2.462e+05,2.189e+02,9.632e+02,2.474e+05
49.8,3.642e+05,2.768e+02,3.184e+03,3.677e+05
51.4,4.231e+05,9.537e+02,6.068e+03,4.301e+05
53.0,3.539e+05,3.995e+03,4.884e+03,3.628e+05
54.6,4.371e+05,1.593e+04,1.343e+04,4.664e+05
56.2,4.877e+05,3.311e+04,2.602e+04,5.468e+05
57.8,5.807e+05,2.834e+04,2.525e+04,6.343e+05
