freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.712e+01,1.890e+02,1.686e+03,1.902e+03
1.6,3.417e+01,1.504e+02,9.959e+02,1.181e+03
3.2,2.538e+01,6.050e+01,9.786e+01,1.837e+02
4.8,2.638e+01,6.434e+01,4.992e+02,5.899e+02
6.3,2.477e+01,7.308e+01,1.473e+03,1.571e+03
7.9,2.536e+01,8.425e+01,2.422e+03,2.532e+03
9.5,4.438e+01,8.810e+01,3.600e+03,3.733e+03
11.1,7.263e+01,1.071e+02,4.962e+03,5.142e+03
12.7,1.158e+02,1.459e+02,7.350e+03,7.612e+03
14.3,2.069e+02,1.297e+02,7.628e+03,7.965e+03
15.9,1.687e+02,1.098e+02,6.923e+03,7.202e+03
17.5,9.007e+01,1.374e+02,9.077e+03,9.305e+03
19.0,5.605e+01,1.697e+02,1.204e+04,1.226e+04
20.6,4.012e+01,2.187e+02,1.510e+04,1.536e+04
22.2,3.570e+01,2.719e+02,1.871e+04,1.902e+04
23.8,4.048e+01,3.317e+02,2.299e+04,2.337e+04
25.4,4.219e+01,3.500e+02,2.761e+04,2.800e+04
27.0,4.647e+01,4.577e+02,3.432e+04,3.483e+04
28.6,6.671e+01,6.745e+02,4.156e+04,4.230e+04
30.1,9.957e+01,9.142e+02,5.204e+04,5.306e+04
31.7,1.184e+02,1.254e+03,6.602e+04,6.739e+04
33.3,9.315e+01,1.607e+03,7.755e+04,7.925e+04
34.9,8.683e+01,1.804e+03,9.250e+04,9.439e+04
36.5,1.333e+02,2.719e+03,1.212e+05,1.241e+05
38.1,1.728e+02,4.294e+03,1.625e+05,1.670e+05
39.7,1.939e+02,5.683e+03,2.084e+05,2.143e+05
41.3,2.656e+02,6.797e+03,2.547e+05,2.618e+05
42.8,5.557e+02,9.809e+03,3.457e+05,3.561e+05
44.4,1.194e+03,1.551e+04,5.087e+05,5.254e+05
46.0,2.529e+03,2.660e+04,7.927e+05,8.218e+05
47.6,3.682e+03,5.025e+04,1.334e+06,1.388e+06
49.2,7.701e+03,1.282e+05,2.698e+06,2.834e+06
50.8,3.731e+04,3.662e+05,5.682e+06,6.086e+06
52.4,9.132e+04,6.447e+05,7.885e+06,8.621e+06
54.0,1.026e+05,7.227e+05,6.996e+06,7.821e+06
55.5,8.348e+04,7.501e+05,5.146e+06,5.979e+06
57.1,6.614e+04,7.937e+05,3.523e+06,4.383e+06
58.7,6.887e+04,7.976e+05,2.577e+06,3.444e+06
60.3,8.296e+04,7.753e+05,2.435e+06,3.293e+06
61.9,7.596e+04,5.521e+05,2.758e+06,3.386e+06
63.5,5.401e+04,2.454e+05,2.682e+06,2.981e+06
65.1,4.380e+04,8.362e+04,2.221e+06,2.348e+06
66.6,4.504e+04,4.988e+04,2.087e+06,2.182e+06
68.2,4.137e+04,4.459e+04,1.703e+06,1.789e+06
69.8,3.897e+04,3.528e+04,1.417e+06,1.491e+06
71.4,3.269e+04,2.631e+04,1.215e+06,1.274e+06
73.0,2.266e+04,2.306e+04,1.050e+06,1.095e+06
74.6,1.442e+04,2.371e+04,9.314e+05,9.695e+05
76.2,9.173e+03,2.876e+04,8.985e+05,9.365e+05
77.8,5.908e+03,3.601e+04,9.108e+05,9.527e+05
79.3,3.715e+03,4.507e+04,9.547e+05,1.003e+06
80.9,2.285e+03,5.693e+04,1.033e+06,1.092e+06
82.5,1.446e+03,7.566e+04,1.175e+06,1.252e+06
84.1,1.102e+03,1.036e+05,1.386e+06,1.491e+06
85.7,9.717e+02,1.450e+05,1.695e+06,1.841e+06
87.3,8.579e+02,2.054e+05,2.138e+06,2.344e+06
88.9,8.057e+02,2.881e+05,2.642e+06,2.931e+06
90.4,6.650e+02,3.534e+05,2.872e+06,3.226e+06
92.0,5.164e+02,3.885e+05,2.829e+06,3.218e+06
93.6,5.595e+02,3.633e+05,2.369e+06,2.733e+06
95.2,8.290e+02,3.315e+05,1.818e+06,2.150e+06
96.8,1.295e+03,3.380e+05,1.474e+06,1.813e+06
98.4,1.467e+03,3.339e+05,1.253e+06,1.588e+06
100.0,1.129e+03,2.913e+05,9.826e+05,1.275e+06
101.6,9.983e+02,2.348e+05,7.256e+05,9.614e+05
103.1,1.241e+03,1.865e+05,5.325e+05,7.203e+05
104.7,1.025e+03,1.472e+05,3.827e+05,5.309e+05
106.3,6.489e+02,1.163e+05,2.722e+05,3.891e+05
107.9,4.553e+02,9.242e+04,1.933e+05,2.861e+05
109.5,3.567e+02,7.469e+04,1.377e+05,2.127e+05
111.1,2.618e+02,6.083e+04,9.827e+04,1.594e+05
112.7,1.945e+02,5.007e+04,7.035e+04,1.206e+05
114.2,1.963e+02,4.124e+04,5.059e+04,9.203e+04
115.8,1.866e+02,3.376e+04,3.670e+04,7.065e+04
117.4,2.049e+02,2.737e+04,2.643e+04,5.400e+04
119.0,2.829e+02,2.201e+04,1.879e+04,4.108e+04
120.6,4.079e+02,1.647e+04,1.222e+04,2.909e+04
122.2,5.464e+02,1.219e+04,7.668e+03,2.040e+04
123.8,6.594e+02,1.113e+04,6.086e+03,1.787e+04
125.4,8.152e+02,1.047e+04,4.967e+03,1.625e+04
126.9,1.003e+03,1.005e+04,4.112e+03,1.517e+04
128.5,1.237e+03,9.537e+03,3.358e+03,1.413e+04
130.1,1.589e+03,9.216e+03,2.761e+03,1.357e+04
131.7,1.893e+03,8.250e+03,2.188e+03,1.233e+04
133.3,1.177e+03,3.815e+03,9.908e+02,5.983e+03
134.9,5.719e+02,6.565e+02,2.331e+02,1.461e+03
136.5,6.131e+02,4.431e+02,1.789e+02,1.235e+03
138.1,7.357e+02,4.674e+02,1.758e+02,1.379e+03
139.6,8.373e+02,4.826e+02,1.681e+02,1.488e+03
141.2,8.652e+02,5.014e+02,1.718e+02,1.538e+03
142.8,7.733e+02,5.065e+02,1.588e+02,1.439e+03
144.4,6.428e+02,4.802e+02,1.520e+02,1.275e+03
146.0,5.961e+02,4.215e+02,1.376e+02,1.155e+03
147.6,6.123e+02,3.596e+02,1.467e+02,1.119e+03
149.2,6.352e+02,3.521e+02,1.413e+02,1.129e+03
150.7,8.018e+02,3.478e+02,1.321e+02,1.282e+03
152.3,1.244e+03,2.262e+02,1.961e+02,1.666e+03
153.9,1.912e+03,1.428e+02,3.434e+02,2.399e+03
155.5,1.685e+03,1.216e+02,4.613e+02,2.267e+03
157.1,1.017e+03,1.207e+02,6.472e+02,1.785e+03
158.7,6.477e+02,1.636e+02,9.658e+02,1.777e+03
160.3,5.831e+02,3.293e+02,1.201e+03,2.113e+03
161.9,6.573e+02,5.401e+02,1.186e+03,2.383e+03
163.4,7.182e+02,6.779e+02,9.407e+02,2.337e+03
165.0,7.514e+02,7.776e+02,7.187e+02,2.248e+03
166.6,6.936e+02,8.275e+02,6.104e+02,2.131e+03
168.2,6.376e+02,8.814e+02,4.841e+02,2.003e+03
169.8,7.078e+02,9.467e+02,3.959e+02,2.050e+03
171.4,7.485e+02,9.408e+02,2.924e+02,1.982e+03
173.0,7.670e+02,9.259e+02,2.128e+02,1.906e+03
174.5,7.535e+02,9.320e+02,1.933e+02,1.879e+03
176.1,7.721e+02,9.357e+02,2.018e+02,1.910e+03
177.7,8.112e+02,1.004e+03,2.060e+02,2.022e+03
179.3,8.614e+02,1.171e+03,2.146e+02,2.247e+03
180.9,9.990e+02,1.560e+03,2.648e+02,2.823e+03
182.5,1.329e+03,2.173e+03,4.066e+02,3.908e+03
184.1,1.632e+03,2.038e+03,5.865e+02,4.257e+03
185.7,1.480e+03,1.228e+03,6.357e+02,3.344e+03
187.2,1.134e+03,8.816e+02,6.684e+02,2.685e+03
188.8,8.445e+02,7.927e+02,6.999e+02,2.337e+03
190.4,7.151e+02,7.103e+02,6.672e+02,2.093e+03
192.0,6.460e+02,6.792e+02,6.670e+02,1.992e+03
193.6,6.254e+02,7.172e+02,7.904e+02,2.133e+03
195.2,6.503e+02,6.842e+02,8.587e+02,2.193e+03
