freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.162e+02,1.738e+01,1.193e+01,7.455e+02
1.6,4.197e+02,5.344e+01,2.193e+01,4.951e+02
3.2,4.658e+01,5.922e+01,2.081e+01,1.266e+02
4.8,4.074e+02,6.051e+01,2.022e+01,4.881e+02
6.3,1.269e+03,6.119e+01,2.120e+01,1.352e+03
7.9,2.081e+03,5.903e+01,1.867e+01,2.158e+03
9.5,2.968e+03,5.677e+01,2.038e+01,3.045e+03
11.1,3.726e+03,5.423e+01,2.506e+01,3.805e+03
12.7,4.981e+03,5.661e+01,3.386e+01,5.071e+03
14.3,6.447e+03,6.380e+01,8.128e+01,6.592e+03
15.9,7.553e+03,6.661e+01,8.910e+01,7.709e+03
17.5,8.530e+03,6.282e+01,5.708e+01,8.650e+03
19.0,1.010e+04,6.371e+01,4.570e+01,1.021e+04
20.6,1.216e+04,6.211e+01,4.363e+01,1.227e+04
22.2,1.463e+04,5.964e+01,4.082e+01,1.473e+04
23.8,1.721e+04,6.945e+01,4.656e+01,1.733e+04
25.4,1.960e+04,6.501e+01,5.194e+01,1.971e+04
27.0,2.308e+04,6.414e+01,6.072e+01,2.321e+04
28.6,2.613e+04,6.878e+01,7.242e+01,2.627e+04
30.1,3.026e+04,7.110e+01,8.559e+01,3.041e+04
31.7,3.589e+04,7.802e+01,1.077e+02,3.607e+04
33.3,3.945e+04,7.498e+01,1.061e+02,3.963e+04
34.9,4.412e+04,6.224e+01,9.692e+01,4.428e+04
36.5,5.355e+04,6.088e+01,1.157e+02,5.373e+04
38.1,6.453e+04,8.462e+01,1.336e+02,6.475e+04
39.7,7.513e+04,1.099e+02,1.568e+02,7.540e+04
41.3,8.308e+04,1.012e+02,2.191e+02,8.340e+04
42.8,9.783e+04,1.310e+02,3.595e+02,9.832e+04
44.4,1.276e+05,1.273e+02,6.655e+02,1.284e+05
46.0,1.416e+05,1.204e+02,1.046e+03,1.427e+05
47.6,1.449e+05,1.827e+02,1.204e+03,1.463e+05
49.2,1.854e+05,2.895e+02,1.506e+03,1.872e+05
50.8,2.403e+05,7.870e+02,2.799e+03,2.439e+05
52.4,2.929e+05,1.479e+03,7.188e+03,3.016e+05
53.9,3.741e+05,2.662e+03,1.898e+04,3.957e+05
55.5,4.740e+05,4.917e+03,2.869e+04,5.076e+05
57.1,6.061e+05,7.008e+03,2.232e+04,6.355e+05
58.7,9.155e+05,1.127e+04,2.034e+04,9.471e+05
60.3,1.585e+06,1.778e+04,3.434e+04,1.637e+06
61.9,2.490e+06,4.548e+04,4.307e+04,2.579e+06
63.5,2.737e+06,7.265e+04,3.479e+04,2.845e+06
65.1,3.019e+06,7.754e+04,3.563e+04,3.133e+06
66.6,3.897e+06,8.291e+04,2.984e+04,4.010e+06
68.2,4.531e+06,7.450e+04,2.202e+04,4.628e+06
69.8,3.794e+06,5.645e+04,1.445e+04,3.865e+06
71.4,2.415e+06,3.573e+04,8.332e+03,2.459e+06
73.0,1.432e+06,1.855e+04,5.303e+03,1.456e+06
74.6,8.961e+05,9.367e+03,3.777e+03,9.092e+05
76.2,6.463e+05,5.443e+03,2.886e+03,6.546e+05
77.7,5.000e+05,3.594e+03,2.277e+03,5.059e+05
79.3,4.021e+05,2.438e+03,1.944e+03,4.065e+05
80.9,3.134e+05,1.523e+03,1.735e+03,3.166e+05
82.5,2.811e+05,1.014e+03,1.927e+03,2.841e+05
84.1,2.459e+05,6.765e+02,2.500e+03,2.491e+05
85.7,2.065e+05,4.849e+02,3.124e+03,2.101e+05
87.3,1.658e+05,3.938e+02,3.548e+03,1.697e+05
88.8,1.586e+05,3.790e+02,5.261e+03,1.642e+05
90.4,1.354e+05,4.272e+02,7.321e+03,1.431e+05
92.0,1.139e+05,7.702e+02,1.038e+04,1.250e+05
93.6,9.688e+04,1.450e+03,1.251e+04,1.108e+05
95.2,8.179e+04,2.122e+03,1.164e+04,9.555e+04
96.8,6.781e+04,2.283e+03,8.179e+03,7.828e+04
98.4,5.533e+04,1.714e+03,4.108e+03,6.115e+04
100.0,4.425e+04,1.109e+03,2.307e+03,4.766e+04
101.5,3.507e+04,1.217e+03,2.420e+03,3.871e+04
103.1,2.852e+04,1.164e+03,1.579e+03,3.126e+04
104.7,2.373e+04,1.008e+03,8.071e+02,2.554e+04
106.3,1.881e+04,9.632e+02,5.708e+02,2.035e+04
107.9,1.392e+04,9.262e+02,4.551e+02,1.531e+04
109.5,9.394e+03,8.671e+02,3.939e+02,1.065e+04
111.1,5.668e+03,8.267e+02,3.417e+02,6.836e+03
112.6,3.481e+03,8.019e+02,3.205e+02,4.604e+03
114.2,3.232e+03,7.104e+02,2.864e+02,4.229e+03
115.8,5.742e+03,8.897e+02,3.136e+02,6.945e+03
117.4,8.668e+03,9.962e+02,2.600e+02,9.924e+03
119.0,1.208e+04,1.120e+03,1.835e+02,1.338e+04
120.6,1.330e+04,1.210e+03,1.242e+02,1.463e+04
122.2,1.207e+04,1.209e+03,9.230e+01,1.337e+04
123.8,1.205e+04,1.356e+03,7.497e+01,1.348e+04
125.3,1.290e+04,1.487e+03,6.831e+01,1.446e+04
126.9,1.532e+04,1.555e+03,8.008e+01,1.696e+04
128.5,2.080e+04,1.608e+03,1.003e+02,2.251e+04
130.1,3.082e+04,1.648e+03,1.436e+02,3.262e+04
131.7,4.444e+04,1.619e+03,1.790e+02,4.624e+04
133.3,2.733e+04,8.473e+02,1.473e+02,2.832e+04
134.9,6.945e+03,2.352e+02,1.020e+02,7.282e+03
136.4,6.953e+03,2.062e+02,9.301e+01,7.252e+03
138.0,8.101e+03,2.405e+02,8.327e+01,8.425e+03
139.6,9.019e+03,3.019e+02,7.164e+01,9.392e+03
141.2,9.485e+03,3.600e+02,5.999e+01,9.905e+03
142.8,9.889e+03,4.686e+02,5.854e+01,1.042e+04
144.4,1.119e+04,5.718e+02,6.460e+01,1.182e+04
146.0,1.349e+04,6.420e+02,7.028e+01,1.420e+04
147.6,1.740e+04,6.930e+02,7.673e+01,1.817e+04
149.1,2.175e+04,7.125e+02,7.395e+01,2.254e+04
150.7,2.613e+04,7.634e+02,7.071e+01,2.696e+04
152.3,2.984e+04,7.920e+02,6.266e+01,3.070e+04
153.9,3.196e+04,7.293e+02,6.471e+01,3.275e+04
155.5,3.507e+04,7.244e+02,8.647e+01,3.588e+04
157.1,4.178e+04,7.931e+02,1.148e+02,4.269e+04
158.7,5.737e+04,1.082e+03,1.600e+02,5.861e+04
160.2,7.592e+04,1.439e+03,2.065e+02,7.756e+04
161.8,7.741e+04,1.438e+03,2.165e+02,7.906e+04
163.4,7.004e+04,1.239e+03,2.132e+02,7.149e+04
165.0,6.249e+04,1.104e+03,1.996e+02,6.380e+04
166.6,5.553e+04,1.000e+03,1.841e+02,5.672e+04
168.2,4.949e+04,9.091e+02,1.747e+02,5.058e+04
169.8,4.462e+04,8.647e+02,1.634e+02,4.565e+04
171.4,4.002e+04,8.538e+02,1.631e+02,4.104e+04
172.9,3.616e+04,8.566e+02,1.684e+02,3.719e+04
174.5,3.342e+04,8.896e+02,1.837e+02,3.449e+04
176.1,3.115e+04,9.140e+02,2.017e+02,3.226e+04
177.7,2.868e+04,9.862e+02,2.202e+02,2.989e+04
179.3,2.587e+04,1.129e+03,2.383e+02,2.723e+04
180.9,2.285e+04,1.329e+03,2.380e+02,2.442e+04
182.5,1.921e+04,1.361e+03,2.149e+02,2.079e+04
184.0,1.481e+04,1.100e+03,1.741e+02,1.609e+04
185.6,1.125e+04,7.347e+02,1.706e+02,1.215e+04
187.2,9.807e+03,4.181e+02,1.566e+02,1.038e+04
188.8,9.956e+03,1.881e+02,1.229e+02,1.027e+04
190.4,1.021e+04,1.357e+02,1.352e+02,1.048e+04
192.0,9.913e+03,1.655e+02,1.398e+02,1.022e+04
193.6,9.401e+03,1.802e+02,1.184e+02,9.699e+03
195.2,8.886e+03,1.744e+02,9.383e+01,9.155e+03
196.7,8.354e+03,1.646e+02,7.232e+01,8.591e+03
198.3,8.403e+03,1.505e+02,5.323e+01,8.606e+03
199.9,9.010e+03,1.261e+02,3.815e+01,9.174e+03
