freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.784e+01,2.052e+03,8.927e+01,2.189e+03
1.6,1.522e+02,1.832e+03,9.737e+01,2.081e+03
3.2,1.590e+02,1.191e+03,6.919e+01,1.419e+03
4.7,1.394e+02,2.019e+03,7.067e+01,2.229e+03
6.3,2.077e+02,3.364e+03,6.929e+01,3.642e+03
7.9,1.912e+02,4.096e+03,6.824e+01,4.355e+03
9.5,2.105e+02,5.107e+03,7.583e+01,5.393e+03
11.0,1.958e+02,5.329e+03,7.513e+01,5.600e+03
12.6,2.182e+02,6.490e+03,7.778e+01,6.786e+03
14.2,2.444e+02,7.869e+03,7.474e+01,8.188e+03
15.8,2.384e+02,9.933e+03,7.612e+01,1.025e+04
17.3,2.220e+02,1.255e+04,8.191e+01,1.285e+04
18.9,2.210e+02,1.594e+04,7.580e+01,1.623e+04
20.5,2.226e+02,1.875e+04,8.168e+01,1.905e+04
22.1,2.236e+02,2.246e+04,1.162e+02,2.280e+04
23.6,2.440e+02,2.612e+04,2.014e+02,2.656e+04
25.2,2.816e+02,2.812e+04,1.923e+02,2.859e+04
26.8,2.581e+02,3.284e+04,1.213e+02,3.322e+04
28.4,2.466e+02,3.959e+04,1.881e+02,4.003e+04
29.9,2.295e+02,4.725e+04,2.796e+02,4.776e+04
31.5,2.466e+02,5.725e+04,3.594e+02,5.786e+04
33.1,3.148e+02,6.872e+04,4.233e+02,6.946e+04
34.7,3.776e+02,8.164e+04,4.805e+02,8.250e+04
36.2,3.622e+02,1.020e+05,4.735e+02,1.028e+05
37.8,3.391e+02,1.328e+05,7.240e+02,1.339e+05
39.4,4.295e+02,1.719e+05,1.048e+03,1.733e+05
41.0,4.795e+02,2.082e+05,1.107e+03,2.097e+05
42.5,5.255e+02,2.662e+05,1.480e+03,2.682e+05
44.1,4.947e+02,3.797e+05,2.508e+03,3.827e+05
45.7,4.754e+02,5.701e+05,4.435e+03,5.750e+05
47.3,8.553e+02,8.980e+05,7.942e+03,9.068e+05
48.8,1.425e+03,1.517e+06,1.679e+04,1.536e+06
50.4,2.032e+03,2.762e+06,4.719e+04,2.811e+06
52.0,2.449e+03,4.692e+06,1.226e+05,4.817e+06
53.6,1.459e+04,7.160e+06,2.647e+05,7.439e+06
55.1,3.298e+04,8.294e+06,4.182e+05,8.745e+06
56.7,2.859e+04,6.885e+06,4.523e+05,7.366e+06
58.3,3.014e+04,5.309e+06,3.949e+05,5.734e+06
59.9,3.771e+04,5.429e+06,2.548e+05,5.722e+06
61.4,2.806e+04,5.515e+06,9.719e+04,5.640e+06
63.0,1.492e+04,4.623e+06,2.965e+04,4.667e+06
64.6,1.733e+04,3.759e+06,2.613e+04,3.802e+06
66.2,4.622e+04,3.131e+06,3.424e+04,3.211e+06
67.8,5.537e+04,2.689e+06,3.839e+04,2.783e+06
69.3,3.736e+04,2.364e+06,4.336e+04,2.445e+06
70.9,2.517e+04,2.055e+06,4.350e+04,2.124e+06
72.5,1.858e+04,1.816e+06,4.550e+04,1.880e+06
74.1,1.503e+04,1.644e+06,5.150e+04,1.710e+06
75.6,1.347e+04,1.682e+06,6.599e+04,1.761e+06
77.2,1.372e+04,1.956e+06,9.469e+04,2.065e+06
78.8,1.565e+04,2.329e+06,1.389e+05,2.484e+06
80.4,1.615e+04,2.438e+06,1.781e+05,2.632e+06
81.9,1.263e+04,1.986e+06,1.768e+05,2.176e+06
83.5,8.103e+03,1.316e+06,1.425e+05,1.466e+06
85.1,4.787e+03,7.900e+05,1.039e+05,8.987e+05
86.7,2.914e+03,4.675e+05,7.499e+04,5.454e+05
88.2,1.967e+03,2.792e+05,5.413e+04,3.353e+05
89.8,1.450e+03,1.661e+05,3.951e+04,2.070e+05
91.4,9.940e+02,1.005e+05,2.881e+04,1.303e+05
93.0,6.281e+02,6.325e+04,2.048e+04,8.435e+04
94.5,9.981e+02,4.335e+04,1.613e+04,6.047e+04
96.1,2.966e+03,3.176e+04,2.041e+04,5.513e+04
97.7,4.419e+03,2.438e+04,2.628e+04,5.509e+04
99.3,3.986e+03,1.866e+04,2.531e+04,4.795e+04
100.8,2.998e+03,1.452e+04,2.131e+04,3.883e+04
102.4,2.090e+03,1.133e+04,1.758e+04,3.099e+04
104.0,1.493e+03,9.564e+03,1.476e+04,2.582e+04
105.6,1.204e+03,8.380e+03,1.251e+04,2.209e+04
107.1,1.603e+03,8.986e+03,1.094e+04,2.153e+04
108.7,3.066e+03,9.014e+03,9.669e+03,2.175e+04
110.3,3.732e+03,8.866e+03,8.560e+03,2.116e+04
111.9,3.000e+03,9.159e+03,7.629e+03,1.979e+04
113.4,1.898e+03,9.123e+03,6.712e+03,1.773e+04
115.0,1.042e+03,9.167e+03,6.093e+03,1.630e+04
116.6,9.672e+02,9.162e+03,5.373e+03,1.550e+04
118.2,1.472e+03,9.414e+03,4.611e+03,1.550e+04
119.7,2.310e+03,9.537e+03,3.769e+03,1.562e+04
121.3,2.938e+03,8.069e+03,2.728e+03,1.374e+04
122.9,3.917e+03,7.989e+03,2.044e+03,1.395e+04
124.5,4.587e+03,7.866e+03,1.643e+03,1.410e+04
126.0,5.015e+03,8.678e+03,1.334e+03,1.503e+04
127.6,4.417e+03,9.917e+03,1.401e+03,1.573e+04
129.2,3.129e+03,1.139e+04,1.821e+03,1.634e+04
130.8,2.645e+03,1.251e+04,2.168e+03,1.733e+04
132.4,2.159e+03,1.053e+04,2.070e+03,1.476e+04
133.9,7.690e+02,3.944e+03,6.693e+02,5.382e+03
135.5,4.430e+02,2.503e+03,2.724e+02,3.219e+03
137.1,4.883e+02,2.844e+03,2.469e+02,3.579e+03
138.7,5.982e+02,2.376e+03,2.389e+02,3.213e+03
140.2,7.174e+02,2.397e+03,2.372e+02,3.352e+03
141.8,9.211e+02,2.626e+03,2.129e+02,3.760e+03
143.4,1.329e+03,2.641e+03,2.222e+02,4.193e+03
145.0,1.998e+03,2.950e+03,2.326e+02,5.181e+03
146.5,2.882e+03,2.948e+03,2.564e+02,6.086e+03
148.1,4.066e+03,2.837e+03,3.015e+02,7.205e+03
149.7,4.991e+03,3.423e+03,3.291e+02,8.743e+03
151.3,5.727e+03,3.603e+03,3.258e+02,9.656e+03
152.8,6.554e+03,3.876e+03,3.154e+02,1.075e+04
154.4,7.035e+03,4.443e+03,2.874e+02,1.177e+04
156.0,6.391e+03,4.543e+03,2.901e+02,1.122e+04
157.6,6.152e+03,6.590e+03,3.440e+02,1.309e+04
159.1,5.739e+03,8.116e+03,3.099e+02,1.417e+04
160.7,4.073e+03,6.881e+03,1.908e+02,1.114e+04
162.3,2.884e+03,5.615e+03,2.838e+02,8.783e+03
163.9,3.840e+03,4.465e+03,4.968e+02,8.802e+03
165.4,4.749e+03,3.689e+03,4.806e+02,8.919e+03
167.0,4.656e+03,2.779e+03,3.656e+02,7.802e+03
168.6,3.848e+03,3.797e+03,3.685e+02,8.014e+03
170.2,2.695e+03,4.689e+03,3.509e+02,7.734e+03
171.7,1.467e+03,4.262e+03,3.401e+02,6.069e+03
173.3,9.092e+02,5.173e+03,4.295e+02,6.511e+03
174.9,8.545e+02,5.761e+03,4.666e+02,7.082e+03
176.5,9.109e+02,6.850e+03,4.064e+02,8.167e+03
