freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.607e+02,1.022e+01,1.317e+01,5.841e+02
1.6,3.323e+02,2.652e+01,4.996e+01,4.088e+02
3.1,3.843e+01,3.010e+01,5.807e+01,1.266e+02
4.7,3.500e+02,2.728e+01,5.361e+01,4.308e+02
6.3,1.142e+03,2.851e+01,5.416e+01,1.224e+03
7.9,1.898e+03,3.778e+01,5.378e+01,1.990e+03
9.4,2.669e+03,4.297e+01,5.822e+01,2.771e+03
11.0,3.350e+03,4.430e+01,5.759e+01,3.452e+03
12.6,4.206e+03,3.181e+01,6.278e+01,4.300e+03
14.2,5.630e+03,2.942e+01,6.322e+01,5.723e+03
15.7,7.197e+03,2.878e+01,5.813e+01,7.284e+03
17.3,8.787e+03,2.787e+01,5.604e+01,8.871e+03
18.9,1.052e+04,3.613e+01,6.467e+01,1.062e+04
20.5,1.256e+04,4.390e+01,6.470e+01,1.267e+04
22.0,1.425e+04,4.467e+01,5.765e+01,1.435e+04
23.6,1.618e+04,5.100e+01,7.505e+01,1.630e+04
25.2,1.844e+04,6.745e+01,8.933e+01,1.860e+04
26.8,2.191e+04,6.140e+01,6.457e+01,2.203e+04
28.3,2.511e+04,6.523e+01,5.900e+01,2.524e+04
29.9,2.878e+04,8.303e+01,6.244e+01,2.892e+04
31.5,3.416e+04,9.243e+01,6.628e+01,3.432e+04
33.1,3.857e+04,9.178e+01,6.747e+01,3.872e+04
34.6,4.352e+04,1.029e+02,6.495e+01,4.369e+04
36.2,5.220e+04,1.152e+02,6.823e+01,5.238e+04
37.8,6.142e+04,1.268e+02,1.284e+02,6.167e+04
39.4,7.062e+04,1.506e+02,2.319e+02,7.100e+04
40.9,7.874e+04,1.747e+02,1.165e+02,7.903e+04
42.5,9.407e+04,2.353e+02,6.842e+01,9.437e+04
44.1,1.247e+05,4.126e+02,1.014e+02,1.252e+05
45.7,1.347e+05,5.416e+02,2.545e+02,1.355e+05
47.2,1.315e+05,4.655e+02,2.772e+02,1.322e+05
48.8,1.748e+05,4.524e+02,2.307e+02,1.755e+05
50.4,2.417e+05,5.930e+02,2.742e+02,2.425e+05
52.0,3.179e+05,9.948e+02,3.486e+02,3.192e+05
53.5,4.114e+05,1.987e+03,9.708e+02,4.144e+05
55.1,5.682e+05,3.715e+03,4.470e+03,5.764e+05
56.7,8.523e+05,5.985e+03,1.005e+04,8.683e+05
58.3,1.311e+06,1.004e+04,1.269e+04,1.334e+06
59.8,1.626e+06,1.158e+04,1.966e+04,1.657e+06
61.4,1.928e+06,1.550e+04,2.606e+04,1.969e+06
63.0,2.122e+06,2.207e+04,2.892e+04,2.173e+06
64.6,2.049e+06,2.394e+04,3.257e+04,2.106e+06
66.1,1.813e+06,2.344e+04,3.170e+04,1.869e+06
67.7,1.529e+06,2.666e+04,2.833e+04,1.584e+06
69.3,1.291e+06,3.117e+04,2.371e+04,1.346e+06
70.9,1.072e+06,3.317e+04,1.854e+04,1.124e+06
72.4,8.762e+05,2.689e+04,1.047e+04,9.136e+05
74.0,6.711e+05,1.572e+04,5.352e+03,6.922e+05
75.6,5.102e+05,1.068e+04,3.294e+03,5.242e+05
77.2,3.880e+05,1.103e+04,2.402e+03,4.014e+05
78.7,2.978e+05,1.259e+04,2.037e+03,3.124e+05
80.3,2.380e+05,1.263e+04,1.655e+03,2.523e+05
81.9,1.965e+05,1.059e+04,1.154e+03,2.082e+05
83.5,1.691e+05,6.716e+03,6.426e+02,1.765e+05
85.0,1.514e+05,3.554e+03,3.254e+02,1.552e+05
86.6,1.360e+05,1.972e+03,1.927e+02,1.382e+05
88.2,1.220e+05,1.331e+03,1.491e+02,1.235e+05
89.8,1.066e+05,9.762e+02,1.235e+02,1.077e+05
91.3,9.023e+04,7.132e+02,1.120e+02,9.105e+04
92.9,7.519e+04,5.120e+02,1.031e+02,7.581e+04
94.5,6.174e+04,3.529e+02,1.017e+02,6.220e+04
96.1,4.931e+04,2.365e+02,1.464e+02,4.970e+04
97.6,4.015e+04,1.574e+02,2.188e+02,4.053e+04
99.2,3.439e+04,1.135e+02,2.341e+02,3.474e+04
100.8,2.842e+04,9.296e+01,1.729e+02,2.869e+04
102.4,2.204e+04,9.009e+01,1.484e+02,2.228e+04
103.9,1.628e+04,8.530e+01,1.282e+02,1.649e+04
105.5,1.119e+04,7.235e+01,1.163e+02,1.138e+04
107.1,7.064e+03,6.295e+01,1.221e+02,7.249e+03
108.7,4.189e+03,4.940e+01,1.362e+02,4.374e+03
110.2,2.612e+03,4.705e+01,1.494e+02,2.809e+03
111.8,2.598e+03,5.459e+01,1.722e+02,2.825e+03
113.4,4.804e+03,7.535e+01,2.104e+02,5.089e+03
115.0,1.025e+04,1.154e+02,2.879e+02,1.065e+04
116.5,1.883e+04,1.662e+02,4.373e+02,1.943e+04
118.1,3.018e+04,2.803e+02,7.321e+02,3.119e+04
119.7,3.991e+04,4.932e+02,1.163e+03,4.157e+04
121.2,3.650e+04,6.476e+02,1.299e+03,3.845e+04
122.8,2.901e+04,8.233e+02,1.430e+03,3.127e+04
124.4,2.252e+04,1.048e+03,1.756e+03,2.532e+04
126.0,1.356e+04,1.162e+03,1.722e+03,1.645e+04
127.5,8.927e+03,1.027e+03,1.241e+03,1.119e+04
129.1,1.182e+04,7.916e+02,6.854e+02,1.330e+04
130.7,1.857e+04,8.213e+02,4.691e+02,1.986e+04
132.3,2.051e+04,1.028e+03,4.004e+02,2.194e+04
133.8,6.987e+03,3.762e+02,1.745e+02,7.538e+03
135.4,2.253e+03,1.113e+02,9.992e+01,2.464e+03
137.0,2.800e+03,1.108e+02,9.541e+01,3.007e+03
138.6,3.702e+03,1.204e+02,1.137e+02,3.936e+03
140.1,5.116e+03,1.345e+02,1.264e+02,5.377e+03
141.7,7.105e+03,1.687e+02,1.486e+02,7.422e+03
143.3,1.039e+04,2.368e+02,1.841e+02,1.081e+04
144.9,1.551e+04,3.132e+02,2.304e+02,1.605e+04
146.4,2.272e+04,4.215e+02,2.990e+02,2.344e+04
148.0,3.268e+04,5.416e+02,3.794e+02,3.360e+04
149.6,4.242e+04,6.341e+02,4.287e+02,4.348e+04
151.2,4.937e+04,6.713e+02,4.801e+02,5.052e+04
152.7,5.193e+04,6.665e+02,4.947e+02,5.309e+04
154.3,5.148e+04,6.303e+02,4.938e+02,5.260e+04
155.9,5.329e+04,6.530e+02,5.119e+02,5.445e+04
157.5,6.363e+04,7.897e+02,6.098e+02,6.503e+04
159.0,8.307e+04,1.087e+03,8.595e+02,8.501e+04
160.6,1.005e+05,1.430e+03,1.268e+03,1.032e+05
162.2,9.838e+04,1.469e+03,1.493e+03,1.013e+05
163.8,8.881e+04,1.431e+03,1.595e+03,9.183e+04
165.3,8.023e+04,1.358e+03,1.661e+03,8.325e+04
166.9,7.261e+04,1.243e+03,1.730e+03,7.558e+04
168.5,6.584e+04,1.141e+03,1.917e+03,6.890e+04
170.1,5.759e+04,1.044e+03,2.225e+03,6.085e+04
171.6,4.613e+04,9.182e+02,2.565e+03,4.961e+04
173.2,3.485e+04,7.176e+02,2.691e+03,3.826e+04
174.8,2.459e+04,5.002e+02,2.414e+03,2.750e+04
176.4,1.619e+04,2.692e+02,2.040e+03,1.850e+04
177.9,1.602e+04,1.141e+02,1.202e+03,1.734e+04
179.5,1.975e+04,1.008e+02,5.060e+02,2.036e+04
181.1,2.080e+04,1.267e+02,2.490e+02,2.117e+04
182.7,1.966e+04,1.207e+02,2.113e+02,1.999e+04
184.2,1.757e+04,1.303e+02,2.014e+02,1.790e+04
185.8,1.483e+04,1.459e+02,2.054e+02,1.519e+04
187.4,1.271e+04,1.525e+02,1.981e+02,1.306e+04
189.0,1.124e+04,1.680e+02,2.034e+02,1.161e+04
190.5,1.038e+04,1.853e+02,2.030e+02,1.077e+04
192.1,9.955e+03,2.244e+02,2.219e+02,1.040e+04
193.7,1.036e+04,2.400e+02,2.447e+02,1.085e+04
195.3,1.106e+04,2.587e+02,2.321e+02,1.155e+04
196.8,1.214e+04,3.270e+02,2.049e+02,1.267e+04
198.4,1.258e+04,4.085e+02,1.564e+02,1.314e+04
200.0,1.348e+04,5.018e+02,1.439e+02,1.412e+04
