freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.081e+02,3.096e+03,1.709e+02,3.475e+03
1.6,1.683e+03,1.123e+04,2.412e+02,1.315e+04
3.2,1.035e+03,9.692e+03,1.597e+02,1.089e+04
4.8,1.010e+03,1.027e+04,1.482e+02,1.143e+04
6.4,1.097e+03,1.133e+04,1.526e+02,1.258e+04
8.0,8.197e+02,1.194e+04,1.698e+02,1.293e+04
9.6,1.023e+03,1.056e+04,1.773e+02,1.176e+04
11.2,9.374e+02,1.023e+04,2.102e+02,1.138e+04
12.9,9.872e+02,1.117e+04,2.016e+02,1.236e+04
14.5,8.833e+02,1.582e+04,2.344e+02,1.693e+04
16.1,5.786e+02,1.825e+04,2.068e+02,1.903e+04
17.7,7.525e+02,1.995e+04,2.317e+02,2.093e+04
19.3,6.719e+02,2.470e+04,3.279e+02,2.570e+04
20.9,8.035e+02,2.784e+04,3.593e+02,2.900e+04
22.5,1.373e+03,3.162e+04,3.151e+02,3.331e+04
24.1,1.563e+03,3.505e+04,3.491e+02,3.697e+04
25.7,1.344e+03,3.960e+04,4.057e+02,4.135e+04
27.3,1.047e+03,4.768e+04,5.652e+02,4.929e+04
28.9,8.498e+02,5.582e+04,6.917e+02,5.736e+04
30.5,9.079e+02,7.149e+04,9.241e+02,7.332e+04
32.1,1.108e+03,8.947e+04,1.518e+03,9.210e+04
33.7,8.208e+02,1.035e+05,2.296e+03,1.066e+05
35.3,1.063e+03,1.236e+05,2.202e+03,1.269e+05
37.0,8.905e+02,1.648e+05,2.376e+03,1.681e+05
38.6,5.739e+02,2.220e+05,3.272e+03,2.258e+05
40.2,9.137e+02,2.929e+05,4.751e+03,2.986e+05
41.8,8.804e+02,3.803e+05,7.781e+03,3.889e+05
43.4,6.793e+02,5.224e+05,1.383e+04,5.369e+05
45.0,1.033e+03,8.605e+05,2.870e+04,8.903e+05
46.6,2.574e+03,1.699e+06,6.993e+04,1.772e+06
48.2,3.286e+04,4.335e+06,1.945e+05,4.563e+06
49.8,9.502e+04,7.307e+06,3.986e+05,7.801e+06
51.4,7.336e+04,6.649e+06,4.619e+05,7.185e+06
53.0,1.430e+04,4.026e+06,4.079e+05,4.449e+06
54.6,1.135e+03,2.569e+06,3.805e+05,2.951e+06
56.2,1.728e+03,2.059e+06,3.924e+05,2.454e+06
57.8,3.415e+03,1.777e+06,5.102e+05,2.290e+06
59.4,3.699e+03,1.483e+06,6.305e+05,2.117e+06
61.1,3.563e+03,1.382e+06,4.354e+05,1.821e+06
62.7,1.990e+03,1.482e+06,2.331e+05,1.717e+06
64.3,1.932e+03,1.533e+06,2.085e+05,1.743e+06
65.9,1.870e+03,1.369e+06,1.168e+05,1.488e+06
67.5,1.635e+03,1.370e+06,7.835e+04,1.450e+06
69.1,2.861e+03,1.559e+06,1.994e+05,1.761e+06
70.7,4.745e+03,1.514e+06,3.005e+05,1.820e+06
