freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.860e+01,1.864e+03,8.613e+01,1.999e+03
1.6,4.853e+01,1.059e+03,8.730e+01,1.194e+03
3.2,2.711e+01,4.122e+01,4.788e+01,1.162e+02
4.8,2.731e+01,4.603e+02,4.652e+01,5.341e+02
6.4,3.189e+01,1.553e+03,5.043e+01,1.635e+03
8.0,5.582e+01,2.399e+03,4.875e+01,2.504e+03
9.6,5.173e+01,2.613e+03,5.289e+01,2.718e+03
11.2,3.265e+01,3.291e+03,5.850e+01,3.382e+03
12.8,3.084e+01,4.702e+03,6.029e+01,4.793e+03
14.3,3.321e+01,6.390e+03,5.782e+01,6.481e+03
15.9,3.572e+01,8.183e+03,5.691e+01,8.275e+03
17.5,3.004e+01,1.047e+04,6.302e+01,1.056e+04
19.1,3.197e+01,1.355e+04,7.166e+01,1.365e+04
20.7,5.021e+01,1.686e+04,9.895e+01,1.701e+04
22.3,7.074e+01,2.003e+04,9.837e+01,2.020e+04
23.9,6.996e+01,2.238e+04,1.148e+02,2.257e+04
25.5,7.294e+01,2.395e+04,1.418e+02,2.416e+04
27.1,9.027e+01,2.926e+04,1.881e+02,2.954e+04
28.7,1.124e+02,3.386e+04,1.699e+02,3.414e+04
30.3,1.023e+02,4.048e+04,1.639e+02,4.075e+04
31.9,9.993e+01,5.169e+04,2.149e+02,5.200e+04
33.5,1.140e+02,6.218e+04,3.197e+02,6.262e+04
35.1,1.256e+02,7.583e+04,4.222e+02,7.638e+04
36.7,1.008e+02,9.946e+04,4.045e+02,9.997e+04
38.3,5.820e+01,1.342e+05,5.851e+02,1.349e+05
39.8,6.799e+01,1.757e+05,1.080e+03,1.768e+05
41.4,1.529e+02,2.187e+05,1.561e+03,2.205e+05
43.0,1.804e+02,2.975e+05,2.269e+03,2.999e+05
44.6,1.273e+02,4.309e+05,4.008e+03,4.350e+05
46.2,1.718e+02,6.575e+05,7.631e+03,6.653e+05
47.8,4.508e+02,1.168e+06,1.613e+04,1.184e+06
49.4,9.345e+02,2.157e+06,3.503e+04,2.193e+06
51.0,5.500e+03,4.276e+06,9.534e+04,4.376e+06
52.6,3.674e+04,6.919e+06,2.776e+05,7.233e+06
54.2,9.227e+04,7.582e+06,5.624e+05,8.236e+06
55.8,1.179e+05,6.382e+06,6.617e+05,7.162e+06
57.4,1.219e+05,6.120e+06,3.708e+05,6.613e+06
59.0,1.434e+05,5.501e+06,9.826e+04,5.742e+06
60.6,1.660e+05,4.378e+06,2.740e+04,4.572e+06
62.2,1.533e+05,3.490e+06,1.612e+04,3.659e+06
63.8,1.576e+05,2.868e+06,1.049e+04,3.036e+06
65.3,1.602e+05,2.408e+06,8.300e+03,2.577e+06
66.9,1.057e+05,2.042e+06,1.236e+04,2.160e+06
68.5,5.702e+04,1.761e+06,1.933e+04,1.837e+06
