freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.741e+02,8.407e+01,1.910e+01,5.773e+02
1.6,2.819e+02,6.319e+01,5.048e+01,3.955e+02
3.2,4.391e+01,2.026e+01,5.541e+01,1.196e+02
4.8,3.930e+02,1.916e+01,5.830e+01,4.705e+02
6.4,1.228e+03,2.298e+01,6.145e+01,1.313e+03
8.0,1.853e+03,2.768e+01,5.868e+01,1.939e+03
9.6,2.404e+03,2.735e+01,6.051e+01,2.492e+03
11.2,3.186e+03,2.502e+01,6.076e+01,3.272e+03
12.8,4.215e+03,2.728e+01,5.968e+01,4.302e+03
14.4,5.453e+03,3.198e+01,6.446e+01,5.550e+03
16.0,6.746e+03,4.878e+01,5.984e+01,6.854e+03
17.6,8.143e+03,7.315e+01,6.058e+01,8.277e+03
19.2,9.533e+03,1.097e+02,6.467e+01,9.708e+03
20.8,1.132e+04,1.292e+02,6.414e+01,1.151e+04
22.3,1.339e+04,1.279e+02,6.565e+01,1.359e+04
23.9,1.531e+04,1.430e+02,6.613e+01,1.552e+04
25.5,1.640e+04,1.739e+02,6.071e+01,1.663e+04
27.1,1.885e+04,2.138e+02,6.771e+01,1.913e+04
28.7,2.263e+04,2.646e+02,6.823e+01,2.297e+04
30.3,2.658e+04,3.608e+02,7.515e+01,2.701e+04
31.9,3.173e+04,4.545e+02,1.052e+02,3.229e+04
33.5,3.619e+04,5.509e+02,9.826e+01,3.684e+04
35.1,4.267e+04,7.356e+02,1.062e+02,4.352e+04
36.7,4.832e+04,1.135e+03,2.504e+02,4.970e+04
38.3,5.623e+04,1.661e+03,3.102e+02,5.820e+04
39.9,6.632e+04,2.296e+03,3.465e+02,6.896e+04
41.5,7.211e+04,3.114e+03,4.813e+02,7.570e+04
43.1,8.135e+04,4.527e+03,6.662e+02,8.654e+04
44.7,9.985e+04,6.795e+03,7.977e+02,1.074e+05
46.3,1.265e+05,1.056e+04,8.512e+02,1.379e+05
47.9,1.646e+05,1.805e+04,1.024e+03,1.837e+05
49.5,2.217e+05,3.598e+04,1.816e+03,2.595e+05
51.1,2.996e+05,8.219e+04,4.463e+03,3.862e+05
52.7,3.912e+05,2.242e+05,1.989e+04,6.353e+05
54.3,5.236e+05,4.760e+05,7.962e+04,1.079e+06
55.9,7.151e+05,5.030e+05,8.979e+04,1.308e+06
57.5,9.863e+05,4.561e+05,2.555e+04,1.468e+06
59.1,1.274e+06,3.747e+05,1.386e+04,1.662e+06
60.7,1.621e+06,3.118e+05,1.839e+04,1.952e+06
62.3,2.028e+06,2.309e+05,1.276e+04,2.272e+06
63.8,2.015e+06,1.163e+05,7.132e+03,2.139e+06
65.4,1.735e+06,4.759e+04,5.270e+03,1.788e+06
67.0,1.413e+06,2.059e+04,4.199e+03,1.438e+06
68.6,1.264e+06,1.365e+04,1.872e+03,1.279e+06
70.2,1.289e+06,1.125e+04,8.963e+02,1.301e+06
71.8,1.203e+06,1.039e+04,8.917e+02,1.215e+06
73.4,8.844e+05,7.855e+03,8.531e+02,8.931e+05
75.0,6.068e+05,5.805e+03,6.917e+02,6.133e+05
76.6,4.603e+05,5.673e+03,6.211e+02,4.665e+05
78.2,3.618e+05,5.948e+03,6.281e+02,3.684e+05
79.8,2.807e+05,7.144e+03,7.297e+02,2.886e+05
81.4,2.210e+05,8.522e+03,8.733e+02,2.304e+05
83.0,1.798e+05,7.992e+03,8.633e+02,1.887e+05
84.6,1.518e+05,6.302e+03,7.052e+02,1.589e+05
86.2,1.319e+05,5.075e+03,6.440e+02,1.377e+05
87.8,1.063e+05,4.056e+03,6.160e+02,1.110e+05
89.4,1.038e+05,3.699e+03,6.608e+02,1.082e+05
91.0,8.812e+04,2.602e+03,5.879e+02,9.131e+04
92.6,7.258e+04,1.634e+03,5.060e+02,7.472e+04
94.2,6.037e+04,9.796e+02,4.127e+02,6.176e+04
95.8,5.044e+04,5.912e+02,3.164e+02,5.134e+04
97.4,4.156e+04,3.620e+02,2.756e+02,4.220e+04
99.0,3.336e+04,2.363e+02,2.655e+02,3.386e+04
100.6,2.667e+04,1.664e+02,2.782e+02,2.712e+04
102.2,2.065e+04,1.087e+02,2.953e+02,2.105e+04
103.8,1.503e+04,6.428e+01,3.229e+02,1.542e+04
105.3,1.034e+04,4.426e+01,3.656e+02,1.075e+04
106.9,6.505e+03,3.733e+01,3.873e+02,6.929e+03
108.5,3.702e+03,3.855e+01,4.230e+02,4.164e+03
110.1,2.202e+03,4.632e+01,5.420e+02,2.791e+03
111.7,2.631e+03,7.733e+01,6.572e+02,3.366e+03
113.3,5.333e+03,1.182e+02,7.850e+02,6.237e+03
114.9,1.093e+04,1.651e+02,9.312e+02,1.203e+04
116.5,2.081e+04,2.207e+02,1.165e+03,2.220e+04
118.1,3.635e+04,2.910e+02,1.502e+03,3.814e+04
119.7,5.338e+04,3.710e+02,1.984e+03,5.573e+04
121.3,6.071e+04,4.083e+02,2.338e+03,6.346e+04
122.9,6.454e+04,4.427e+02,2.564e+03,6.755e+04
124.5,6.203e+04,4.460e+02,2.775e+03,6.525e+04
126.1,5.011e+04,3.969e+02,2.642e+03,5.315e+04
127.7,3.580e+04,3.456e+02,2.333e+03,3.848e+04
129.3,2.372e+04,2.847e+02,1.935e+03,2.594e+04
130.9,1.663e+04,2.336e+02,1.443e+03,1.831e+04
132.5,1.143e+04,1.574e+02,8.424e+02,1.243e+04
134.1,3.027e+03,5.682e+01,2.100e+02,3.294e+03
135.7,1.893e+03,4.072e+01,1.092e+02,2.043e+03
137.3,2.917e+03,3.927e+01,9.708e+01,3.053e+03
138.9,4.390e+03,4.038e+01,9.405e+01,4.524e+03
140.5,5.797e+03,3.874e+01,1.078e+02,5.944e+03
142.1,7.437e+03,3.652e+01,1.175e+02,7.591e+03
143.7,1.095e+04,3.995e+01,1.136e+02,1.111e+04
145.3,1.718e+04,3.903e+01,1.066e+02,1.733e+04
146.8,2.794e+04,3.811e+01,1.123e+02,2.809e+04
148.4,4.384e+04,3.663e+01,1.077e+02,4.398e+04
150.0,6.237e+04,4.257e+01,1.069e+02,6.252e+04
151.6,7.973e+04,5.532e+01,1.117e+02,7.990e+04
