freq,psd_x,psd_y,psd_z,psd_xyz
158.0,6.069e+03,1.081e+03,4.224e+02,7.573e+03
159.6,5.565e+03,1.931e+03,6.217e+02,8.118e+03
161.2,5.430e+03,2.449e+03,8.319e+02,8.711e+03
162.8,5.016e+03,2.275e+03,8.943e+02,8.185e+03
164.4,4.210e+03,2.151e+03,7.074e+02,7.069e+03
166.0,2.965e+03,2.267e+03,6.505e+02,5.883e+03
167.6,1.942e+03,2.559e+03,9.142e+02,5.416e+03
169.2,1.557e+03,2.789e+03,1.065e+03,5.411e+03
170.8,1.221e+03,2.755e+03,9.118e+02,4.888e+03
172.4,8.701e+02,2.704e+03,6.359e+02,4.210e+03
174.0,7.650e+02,2.800e+03,5.523e+02,4.117e+03
175.6,9.414e+02,2.779e+03,5.166e+02,4.237e+03
177.2,1.237e+03,2.922e+03,5.223e+02,4.682e+03
178.7,1.619e+03,3.117e+03,6.774e+02,5.413e+03
180.3,1.806e+03,3.427e+03,8.458e+02,6.080e+03
181.9,1.722e+03,3.695e+03,7.907e+02,6.208e+03
183.5,1.305e+03,3.668e+03,5.244e+02,5.498e+03
185.1,1.020e+03,3.935e+03,3.587e+02,5.313e+03
186.7,9.470e+02,4.951e+03,3.377e+02,6.236e+03
188.3,1.007e+03,3.803e+03,3.163e+02,5.127e+03
189.9,1.280e+03,5.222e+03,3.650e+02,6.867e+03
191.5,1.793e+03,6.933e+03,4.320e+02,9.158e+03
193.1,2.605e+03,7.299e+03,4.390e+02,1.034e+04
194.7,3.443e+03,8.139e+03,4.222e+02,1.200e+04
196.3,4.258e+03,9.008e+03,3.951e+02,1.366e+04
197.9,5.348e+03,1.036e+04,4.349e+02,1.614e+04
199.5,6.225e+03,1.202e+04,4.737e+02,1.871e+04
