freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.364e+01,1.891e+02,2.017e+03,2.240e+03
1.6,3.846e+01,1.509e+02,1.157e+03,1.346e+03
3.2,2.718e+01,6.373e+01,7.499e+01,1.659e+02
4.8,2.864e+01,6.526e+01,4.629e+02,5.568e+02
6.3,2.773e+01,7.169e+01,1.451e+03,1.551e+03
7.9,2.636e+01,7.671e+01,2.441e+03,2.544e+03
9.5,3.681e+01,8.476e+01,3.742e+03,3.864e+03
11.1,9.451e+01,1.048e+02,5.286e+03,5.485e+03
12.7,1.920e+02,1.377e+02,6.991e+03,7.321e+03
14.3,2.001e+02,1.172e+02,6.452e+03,6.769e+03
15.8,1.011e+02,1.074e+02,6.839e+03,7.048e+03
17.4,6.015e+01,1.323e+02,9.568e+03,9.760e+03
19.0,5.453e+01,1.718e+02,1.286e+04,1.309e+04
20.6,5.832e+01,2.183e+02,1.627e+04,1.655e+04
22.2,4.478e+01,3.080e+02,1.989e+04,2.025e+04
23.8,3.747e+01,3.336e+02,2.416e+04,2.453e+04
25.3,3.778e+01,3.077e+02,2.914e+04,2.949e+04
26.9,3.969e+01,4.479e+02,3.661e+04,3.710e+04
28.5,4.683e+01,6.507e+02,4.464e+04,4.533e+04
30.1,5.373e+01,8.612e+02,5.622e+04,5.714e+04
31.7,5.610e+01,1.210e+03,7.036e+04,7.162e+04
33.3,7.702e+01,1.506e+03,8.246e+04,8.404e+04
34.8,9.580e+01,2.016e+03,1.011e+05,1.032e+05
36.4,1.100e+02,3.014e+03,1.343e+05,1.374e+05
38.0,1.369e+02,4.334e+03,1.780e+05,1.824e+05
39.6,1.970e+02,5.957e+03,2.300e+05,2.361e+05
41.2,3.554e+02,7.591e+03,2.855e+05,2.934e+05
42.8,5.847e+02,1.066e+04,3.924e+05,4.037e+05
44.3,1.259e+03,1.815e+04,5.996e+05,6.190e+05
45.9,2.267e+03,3.478e+04,9.709e+05,1.008e+06
47.5,6.359e+03,7.259e+04,1.712e+06,1.791e+06
49.1,2.914e+04,1.815e+05,3.503e+06,3.713e+06
50.7,6.902e+04,4.235e+05,6.706e+06,7.198e+06
52.3,8.610e+04,6.460e+05,8.430e+06,9.162e+06
53.8,7.307e+04,6.821e+05,7.095e+06,7.850e+06
55.4,6.311e+04,6.608e+05,5.258e+06,5.982e+06
57.0,7.090e+04,6.168e+05,4.242e+06,4.929e+06
58.6,8.991e+04,5.535e+05,3.868e+06,4.512e+06
60.2,1.025e+05,4.619e+05,3.453e+06,4.018e+06
61.8,9.425e+04,3.386e+05,2.947e+06,3.380e+06
63.3,7.808e+04,2.008e+05,2.417e+06,2.696e+06
64.9,7.945e+04,1.144e+05,1.916e+06,2.110e+06
66.5,1.023e+05,8.995e+04,1.828e+06,2.020e+06
68.1,1.030e+05,6.766e+04,1.542e+06,1.712e+06
69.7,8.181e+04,4.738e+04,1.328e+06,1.458e+06
71.3,5.198e+04,2.852e+04,1.158e+06,1.238e+06
72.8,3.058e+04,1.918e+04,1.014e+06,1.064e+06
74.4,1.916e+04,1.737e+04,8.953e+05,9.318e+05
76.0,1.312e+04,2.098e+04,8.524e+05,8.865e+05
77.6,9.168e+03,2.769e+04,8.627e+05,8.996e+05
79.2,6.600e+03,3.655e+04,9.024e+05,9.455e+05
80.8,5.219e+03,4.692e+04,9.630e+05,1.015e+06
82.3,4.414e+03,6.010e+04,1.060e+06,1.125e+06
83.9,3.866e+03,7.806e+04,1.196e+06,1.278e+06
85.5,3.661e+03,1.054e+05,1.405e+06,1.514e+06
87.1,4.068e+03,1.553e+05,1.789e+06,1.949e+06
88.7,4.737e+03,2.516e+05,2.457e+06,2.713e+06
90.3,5.314e+03,4.059e+05,3.351e+06,3.762e+06
91.9,5.391e+03,5.231e+05,3.765e+06,4.294e+06
93.4,4.190e+03,5.227e+05,3.387e+06,3.914e+06
95.0,1.761e+03,4.570e+05,2.660e+06,3.119e+06
96.6,6.916e+02,3.867e+05,1.999e+06,2.386e+06
98.2,1.385e+03,3.263e+05,1.498e+06,1.825e+06
99.8,2.104e+03,2.779e+05,1.144e+06,1.424e+06
101.4,2.209e+03,2.358e+05,8.803e+05,1.118e+06
102.9,2.057e+03,1.859e+05,6.327e+05,8.206e+05
104.5,1.822e+03,1.726e+05,5.359e+05,7.104e+05
106.1,1.429e+03,1.342e+05,3.764e+05,5.120e+05
107.7,1.186e+03,1.101e+05,2.790e+05,3.902e+05
109.3,8.329e+02,9.054e+04,2.072e+05,2.986e+05
110.9,4.640e+02,7.543e+04,1.552e+05,2.311e+05
112.4,3.070e+02,6.335e+04,1.175e+05,1.811e+05
114.0,3.048e+02,5.242e+04,8.734e+04,1.401e+05
115.6,3.903e+02,4.310e+04,6.468e+04,1.082e+05
117.2,4.802e+02,3.499e+04,4.747e+04,8.294e+04
118.8,5.166e+02,2.820e+04,3.461e+04,6.332e+04
120.4,4.985e+02,2.164e+04,2.400e+04,4.614e+04
121.9,4.406e+02,1.619e+04,1.601e+04,3.265e+04
123.5,5.548e+02,1.472e+04,1.285e+04,2.812e+04
125.1,7.670e+02,1.399e+04,1.082e+04,2.557e+04
126.7,1.068e+03,1.315e+04,9.089e+03,2.331e+04
128.3,1.482e+03,1.244e+04,7.796e+03,2.172e+04
129.9,1.891e+03,1.209e+04,6.398e+03,2.038e+04
131.4,2.180e+03,1.125e+04,5.247e+03,1.868e+04
133.0,1.637e+03,5.975e+03,2.977e+03,1.059e+04
134.6,1.055e+03,1.001e+03,1.099e+03,3.155e+03
136.2,1.322e+03,5.676e+02,8.070e+02,2.696e+03
137.8,1.622e+03,5.410e+02,6.868e+02,2.850e+03
139.4,1.784e+03,5.166e+02,5.985e+02,2.899e+03
140.9,1.840e+03,4.918e+02,5.122e+02,2.844e+03
142.5,1.821e+03,4.574e+02,3.937e+02,2.672e+03
144.1,1.963e+03,4.419e+02,2.944e+02,2.699e+03
145.7,2.283e+03,4.048e+02,2.469e+02,2.935e+03
147.3,2.501e+03,3.342e+02,2.424e+02,3.078e+03
148.9,2.667e+03,2.772e+02,2.931e+02,3.238e+03
150.4,2.281e+03,2.422e+02,3.436e+02,2.866e+03
152.0,2.020e+03,2.509e+02,4.384e+02,2.709e+03
153.6,2.001e+03,2.578e+02,5.578e+02,2.816e+03
155.2,1.639e+03,2.086e+02,6.933e+02,2.541e+03
156.8,1.504e+03,1.536e+02,7.605e+02,2.418e+03
158.4,1.730e+03,1.650e+02,7.815e+02,2.677e+03
159.9,1.683e+03,3.387e+02,8.575e+02,2.879e+03
161.5,1.604e+03,5.426e+02,9.230e+02,3.069e+03
163.1,1.499e+03,6.833e+02,8.839e+02,3.066e+03
164.7,1.262e+03,8.031e+02,7.977e+02,2.863e+03
166.3,1.123e+03,9.128e+02,6.752e+02,2.711e+03
167.9,1.004e+03,1.079e+03,5.766e+02,2.659e+03
169.4,9.920e+02,1.226e+03,5.280e+02,2.746e+03
171.0,1.056e+03,1.417e+03,4.962e+02,2.970e+03
172.6,1.120e+03,1.524e+03,5.027e+02,3.146e+03
174.2,1.124e+03,1.564e+03,5.410e+02,3.229e+03
175.8,1.099e+03,1.626e+03,6.246e+02,3.350e+03
177.4,1.034e+03,1.567e+03,7.591e+02,3.360e+03
179.0,1.060e+03,1.600e+03,9.137e+02,3.574e+03
