freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.006e+02,2.016e+01,1.722e+01,5.380e+02
1.6,2.940e+02,2.531e+01,5.060e+01,3.699e+02
3.2,3.569e+01,1.921e+01,5.123e+01,1.061e+02
4.8,3.862e+02,1.869e+01,4.902e+01,4.540e+02
6.4,1.235e+03,1.946e+01,4.495e+01,1.299e+03
8.0,1.866e+03,2.444e+01,4.931e+01,1.940e+03
9.6,2.384e+03,2.360e+01,5.018e+01,2.457e+03
11.2,3.269e+03,2.197e+01,4.806e+01,3.339e+03
12.8,4.330e+03,2.244e+01,4.898e+01,4.401e+03
14.3,5.519e+03,2.288e+01,5.090e+01,5.593e+03
15.9,6.841e+03,2.535e+01,4.713e+01,6.914e+03
17.5,7.941e+03,3.180e+01,4.607e+01,8.019e+03
19.1,9.322e+03,3.275e+01,5.473e+01,9.410e+03
20.7,1.080e+04,2.957e+01,6.815e+01,1.089e+04
22.3,1.215e+04,2.881e+01,6.506e+01,1.224e+04
23.9,1.425e+04,3.110e+01,5.107e+01,1.433e+04
25.5,1.650e+04,3.020e+01,5.155e+01,1.659e+04
27.1,1.914e+04,3.704e+01,5.426e+01,1.923e+04
28.7,2.146e+04,5.432e+01,5.203e+01,2.157e+04
30.3,2.472e+04,6.334e+01,6.038e+01,2.484e+04
31.9,2.939e+04,8.357e+01,7.990e+01,2.956e+04
33.5,3.328e+04,1.147e+02,7.080e+01,3.346e+04
35.1,3.937e+04,1.557e+02,7.064e+01,3.960e+04
36.7,4.916e+04,1.854e+02,1.170e+02,4.946e+04
38.3,5.652e+04,2.118e+02,2.017e+02,5.693e+04
39.9,6.413e+04,2.674e+02,2.749e+02,6.468e+04
41.4,6.973e+04,3.621e+02,2.843e+02,7.038e+04
43.0,7.547e+04,5.453e+02,2.677e+02,7.628e+04
44.6,8.256e+04,8.735e+02,3.126e+02,8.375e+04
46.2,1.004e+05,1.308e+03,2.819e+02,1.020e+05
47.8,1.321e+05,1.917e+03,2.485e+02,1.343e+05
49.4,1.781e+05,2.903e+03,2.929e+02,1.813e+05
51.0,2.431e+05,4.612e+03,4.874e+02,2.482e+05
52.6,3.392e+05,8.268e+03,2.311e+03,3.498e+05
54.2,4.985e+05,2.466e+04,1.374e+04,5.369e+05
55.8,6.646e+05,6.252e+04,3.483e+04,7.620e+05
57.4,9.941e+05,9.203e+04,3.180e+04,1.118e+06
59.0,1.623e+06,8.158e+04,2.155e+04,1.726e+06
60.6,2.004e+06,4.770e+04,2.429e+04,2.076e+06
62.2,2.380e+06,4.800e+04,3.181e+04,2.460e+06
63.8,2.603e+06,5.378e+04,3.604e+04,2.693e+06
65.4,2.401e+06,4.284e+04,3.372e+04,2.477e+06
67.0,2.114e+06,2.974e+04,2.844e+04,2.172e+06
68.5,1.697e+06,1.997e+04,2.052e+04,1.738e+06
70.1,1.246e+06,1.408e+04,1.513e+04,1.275e+06
71.7,8.924e+05,1.095e+04,1.141e+04,9.148e+05
73.3,6.282e+05,8.226e+03,7.237e+03,6.436e+05
74.9,4.374e+05,6.349e+03,4.215e+03,4.480e+05
76.5,3.273e+05,6.347e+03,2.902e+03,3.365e+05
