freq,psd_x,psd_y,psd_z,psd_xyz
156.8,3.498e+04,6.831e+02,2.643e+02,3.593e+04
158.4,4.568e+04,8.510e+02,3.289e+02,4.686e+04
159.9,5.976e+04,1.039e+03,4.130e+02,6.121e+04
161.5,6.324e+04,1.064e+03,4.148e+02,6.472e+04
163.1,5.742e+04,9.582e+02,3.564e+02,5.874e+04
164.7,5.162e+04,8.518e+02,3.342e+02,5.281e+04
166.3,4.635e+04,8.126e+02,3.192e+02,4.749e+04
167.9,4.226e+04,8.050e+02,2.976e+02,4.337e+04
169.4,4.005e+04,8.066e+02,3.002e+02,4.116e+04
171.0,3.846e+04,7.983e+02,3.015e+02,3.956e+04
172.6,3.544e+04,8.089e+02,3.039e+02,3.655e+04
174.2,3.167e+04,8.095e+02,3.087e+02,3.279e+04
175.8,3.013e+04,7.942e+02,3.148e+02,3.123e+04
177.4,2.809e+04,8.205e+02,3.143e+02,2.923e+04
178.9,2.573e+04,9.644e+02,3.326e+02,2.703e+04
180.5,2.311e+04,1.242e+03,3.747e+02,2.473e+04
182.1,1.999e+04,1.590e+03,3.972e+02,2.198e+04
183.7,1.560e+04,1.561e+03,3.151e+02,1.747e+04
185.3,1.140e+04,1.120e+03,1.812e+02,1.270e+04
186.9,9.308e+03,7.014e+02,9.486e+01,1.010e+04
188.4,8.234e+03,3.957e+02,5.972e+01,8.689e+03
190.0,7.803e+03,2.051e+02,8.153e+01,8.089e+03
191.6,8.359e+03,1.173e+02,1.569e+02,8.633e+03
193.2,9.238e+03,9.182e+01,2.221e+02,9.552e+03
194.8,9.964e+03,8.879e+01,2.068e+02,1.026e+04
196.4,1.009e+04,1.060e+02,1.580e+02,1.035e+04
197.9,9.486e+03,1.402e+02,1.306e+02,9.757e+03
199.5,9.700e+03,1.438e+02,1.034e+02,9.947e+03
